xxxx;;;;;;;;;;;;;;x
social_democrat_CUB;¹Å°ÍÉç»áÃñÖ÷µ³;PSRDC;PSRDC;;PSRDC;;;;;;;;;;x
left_wing_radical_CUB;¶«Õı½Ìµ³;Partido Ortodoxo;Partido Ortodoxo;;Partido Ortodoxo;;;;;;;;;;x
leninist_CUB;ÈËÃñÉç»áÖ÷Òåµ³;Partido Socialista Popular;Partido Socialista Popular;;Partido Socialista Popular;;;;;;;;;;x
stalinist_CUB;¹Å°Í¹²²úµ³,;Partido Comunista de Cuba,;Partido Comunista de Cuba,;;Partido Comunista de Cuba,;;;;;;;;;;x
national_socialist_CYN;¹ú¼ÒÉç»áÖ÷Òåµ³;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_CYN;ÖĞ¹úÇàÄêÄêµ³;Parti de la jeunesse chinoise;Chinesische Jugendpartei;;Partido de la Juventud de China;;;;;;;;;;x
paternal_autocrat_CYN;µáÏµ;Clique de Yunnan;Yunnan-Clique;;Yunnan Clique;;;;;;;;;;x
social_conservative_CYN;±£»Êµ³;Société pour la protection de l'Empereur;Kaiserschutzgesellschaft;;Sociedad de Protección al Emperador;;;;;;;;;;x
market_liberal_CYN;Á¢ÏÜµ³;Parti constitutionnaliste;Konstitutionalistische Partei;;Partido Constitucionalista;;;;;;;;;;x
social_liberal_CYN;Î¬ĞÂµ³;Parti réformiste des Cent jours;Hundert-Tage-Reformisten;;Reformistas de los Cien Días;;;;;;;;;;x
social_democrat_CYN;½ø²½µ³;Parti progressiste;Fortschrittspartei;;Partido Progresista;;;;;;;;;;x
left_wing_radical_CYN;ÎåËÄÔË¶¯;Mouvement du 4 mai;4. Mai-Bewegung;;Movimiento del Cuatro de Mayo;;;;;;;;;;x
leninist_CYN;ÖĞ¹ú¹¤Å©µ³;Parti des travailleurs et des paysans chinois;Chinesische Arbeiter- und Bauernpartei;;Partido de los Trabajadores y los Campesinos de China;;;;;;;;;;x
stalinist_CYN;ÖĞ¹ú¹²²úµ³;Parti communiste chinois;Kommunistische Partei Chinas;;Partido Comunista Chino;;;;;;;;;;x
national_socialist_CXB;¹ú¼ÒÉç»áÖ÷Òåµ³;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_CXB;ÖĞ¹úÇàÄêµ³;Parti de la jeunesse chinoise;Chinesische Jugendpartei;;Partido de la Juventud de China;;;;;;;;;;x
paternal_autocrat_CXB;Î÷±±ÈıÂí;Clique de Ma;Ma-Clique;;Ma Clique;;;;;;;;;;x
social_conservative_CXB;±£»Êµ³;Société pour la protection de l'Empereur;Kaiserschutzgesellschaft;;Sociedad de Protección al Emperador;;;;;;;;;;x
market_liberal_CXB;Á¢ÏÜµ³;Parti constitutionnaliste;Konstitutionalistische Partei;;Partido Constitucionalista;;;;;;;;;;x
social_liberal_CXB;Î¬ĞÂµ³;Parti réformiste des Cent jours;Hundert-Tage-Reformisten;;Reformistas de los Cien Días;;;;;;;;;;x
social_democrat_CXB;½ø²½µ³;Parti progressiste;Fortschrittspartei;;Partido Progresista;;;;;;;;;;x
left_wing_radical_CXB;ÎåËÄÔË¶¯;Mouvement du 4 mai;4. Mai-Bewegung;;Movimiento del Cuatro de Mayo;;;;;;;;;;x
leninist_CXB;ÖĞ¹ú¹¤Å©µ³;Parti des travailleurs et des paysans chinois;Chinesische Arbeiter- und Bauernpartei;;Partido de los Trabajadores y los Campesinos de China;;;;;;;;;;x
stalinist_CXB;ÖĞ¹ú¹²²úµ³;Parti communiste chinois;Kommunistische Partei Chinas;;Partido Comunista Chino;;;;;;;;;;x
national_socialist_DDR;µÂ¹ú¹ú¼ÒÃñÖ÷µ³;NDPD;NDPD;;NDPD;;;;;;;;;;x
fascistic_DDR;DRP;DRP;ÃñÖ÷¹²ºÍµ³;;DRP;;;;;;;;;;x
paternal_autocrat_DDR;µÂ¹úÓÒÒíµ³;DReP;DReP;;DReP;;;;;;;;;;x
social_conservative_DDR;µÂ¹úÅ©ÃñÃñÖ÷µ³;DBD;DBD;;DBD;;;;;;;;;;x
market_liberal_DDR;µÂ¹ú×ÔÓÉÃñÖ÷µ³;LDPD;LDPD;;LDPD;;;;;;;;;;x
social_liberal_DDR;µÂ¹ú»ù¶½ÃñÖ÷ÁªÃË;CDU;CDU;;CDU;;;;;;;;;;x
social_democrat_DDR;µÂ¹úÉç»áÃñÖ÷µ³;SPD;SPD;;SPD;;;;;;;;;;x
left_wing_radical_DDR;µÂ¹ú¹²²úµ³;DKP;DKP;;DKP;;;;;;;;;;x
leninist_DDR;µÂ¹úÂíÁĞÖ÷Òåµ³;MLPD;MLPD;;MLPD;;;;;;;;;;x
stalinist_DDR;µÂ¹úÉç»áÁªÃËµ³;SED;SED;;SED;;;;;;;;;;x
national_socialist_DEN;µ¤Âó¹ú¼ÒÉç»áÖ÷Òå¹¤ÈËµ³;Nationalsocialistiske Arbejderparti;Nationalsocialistiske Arbejderparti;;Nationalsocialistiske Arbejderparti;;;;;;;;;;x
fascistic_DEN;Å©Ãñµ³;Bondepartiet;Bondepartiet;;Bondepartiet;;;;;;;;;;x
paternal_autocrat_DEN;µ¤ÂóÁªÃË;Danish Unity;Danish Unity;;Unión Danesa;;;;;;;;;;x
social_conservative_DEN;µ¤ÂóÈËÃñ±£ÊØµ³;Det Konservative Folkeparti;Det Konservative Folkeparti;;Det Konservative Folkeparti;;;;;;;;;;x
market_liberal_DEN;µ¤Âó×ÔÓÉµ³;Venstre;Venstre;;Venstre;;;;;;;;;;x
social_liberal_DEN;×óÒí¼¤½øµ³;Radikale Venstre;Radikale Venstre;;Radikale Venstre;;;;;;;;;;x
social_democrat_DEN;µ¤ÂóÉç»áÃñÖ÷µ³;Socialdemokraterne;Socialdemokraterne;;Socialdemokraterne;;;;;;;;;;x
left_wing_radical_DEN;µ¤ÂóÕıÒåµ³;Danmarks Retsforbund;Danmarks Retsforbund;;Danmarks Retsforbund;;;;;;;;;;x
leninist_DEN;µ¤ÂóÁĞÄşÖ÷Òå¹²²úµ³;Venstresocialistiske Parti;Venstresocialistiske Parti;;Venstresocialistiske Parti;;;;;;;;;;x
stalinist_DEN;µ¤Âó¹²²úµ³;Danmarks Kommunistiske Parti;Danmarks Kommunistiske Parti;;Danmarks Kommunistiske Parti;;;;;;;;;;x
national_socialist_DFR;µÂ¹úÃñÖ÷µ³;SRD;SRD;;SRD;;;;;;;;;;x
fascistic_DFR;µÂ¹úÃñÖ÷¹²ºÍµ³;DRP;DRP;;DRP;;;;;;;;;;x
paternal_autocrat_DFR;µÂ¹úÓÒÒíµ³;DReP;DReP;;DReP;;;;;;;;;;x
social_conservative_DFR;µÂ¹úÃñÖ÷µ³;DP;DP;;DP;;;;;;;;;;x
market_liberal_DFR;µÂ¹ú×ÔÓÉÃñÖ÷µ³;FDP;FDP;;FDP;;;;;;;;;;x
social_liberal_DFR;µÂ¹ú»ù¶½½ÌÃñÖ÷ÁªÃË;CDU;CDU;;CDU;;;;;;;;;;x
social_democrat_DFR;µÂ¹úÉç»áÃñÖ÷µ³;SPD;SPD;;SPD;;;;;;;;;;x
left_wing_radical_DFR;µÂ¹ú¹²²úµ³;DKP;DKP;;DKP;;;;;;;;;;x
leninist_DFR;µÂ¹úÂíÁĞÖ÷Òåµ³;MLPD;MLPD;;MLPD;;;;;;;;;;x
stalinist_DFR;µÂ¹ú¹²²úµ³;KPD;KPD;;KPD;;;;;;;;;;x
national_socialist_DOM;¹ú¼ÒÉç»áÖ÷ÒåÔË¶¯µ³;Movimiento National Socialista;Movimiento National Socialista;;Movimiento National Socialista;;;;;;;;;;x
fascistic_DOM;¶àÃ×Äá¼Ó³¤Ç¹µ³;Falange de Dominicano;Falange de Dominicano;;Falange Dominicana;;;;;;;;;;x
paternal_autocrat_DOM;¶àÃ×Äá¼Óµ³;Partido Dominicano;Partido Dominicano;;Partido Dominicano;;;;;;;;;;x
social_conservative_DOM;»ù¶½½ÌÉç»á¸Ä¸ïµ³;Partido Reformista Social Cristiano;Partido Reformista Social Cristiano;;Partido Reformista Social Cristiano;;;;;;;;;;x
market_liberal_DOM;½ø²½Á¦Á¿ÁªÃË;Fuerza Nacional Progresista;Fuerza Nacional Progresista;;Fuerza Nacional Progresista;;;;;;;;;;x
social_liberal_DOM;¶àÃ×Äá¼Ó×ÔÓÉ½â·Åµ³;Partido de la Liberación Dominicana;Partido de la Liberación Dominicana;;Partido de la Liberación Dominicana;;;;;;;;;;x
social_democrat_DOM;¶àÃ×Äá¼Ó¸ïÃüµ³;Partido Revolucionario Dominicano;Partido Revolucionario Dominicano;;Partido Revolucionario Dominicano;;;;;;;;;;x
left_wing_radical_DOM;¶àÃ×Äá¼ÓÀÍ¶¯µ³;Partido de los Trabajadores Dominicanos;Partido de los Trabajadores Dominicanos;;Partido de los Trabajadores Dominicanos;;;;;;;;;;x
leninist_DOM;¶àÃ×Äá¼ÓÈËÃñÔË¶¯µ³;Movimiento Popular Dominicano;Movimiento Popular Dominicano;;Movimiento Popular Dominicano;;;;;;;;;;x
stalinist_DOM;¶àÃ×Äá¼Ó¹²²úµ³,;Partido Comunista de Dominicano,;Partido Comunista de Dominicano,;;Partido Comunista Dominicano;;;;;;;;;;x
national_socialist_ECU;¹ú¼ÒÉç»áÖ÷ÒåÔË¶¯µ³;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_ECU;¶ò¹Ï¶à¶û³¤Ç¹µ³;Falange del Ecuador;Falange del Ecuador;;Falange del Ecuador;;;;;;;;;;x
paternal_autocrat_ECU;¹ú¼Ò×ÔÖÎµ³;Acción Nacional;Acción Nacional;;Acción Nacional;;;;;;;;;;x
social_conservative_ECU;Éç»á±£ÊØµ³;Frente Radical Alfarista;Frente Radical Alfarista;;Frente Radical Alfarista;;;;;;;;;;x
market_liberal_ECU;¶ò¹Ï¶à¶û×ÔÓÉ¼¤½øµ³;Partido Liberal Radical Ecuatoriano;Partido Liberal Radical Ecuatoriano;;Partido Liberal Radical Ecuatoriano;;;;;;;;;;x
social_liberal_ECU;ÈËÃñµ³;Concentración de Fuerzas Populares;Concentración de Fuerzas Populares;;Concentración de Fuerzas Populares;;;;;;;;;;x
social_democrat_ECU;Éç»áÖ÷Òåµ³;Partido Socialista;Partido Socialista;;Partido Socialista;;;;;;;;;;x
left_wing_radical_ECU;¶ò¹Ï¶à¶ûÀÍ¶¯µ³;Partido de los Trabajadores del Ecuador;Partido de los Trabajadores del Ecuador;;Partido de los Trabajadores del Ecuador;;;;;;;;;;x
leninist_ECU;¶ò¹Ï¶à¶ûÂíÁĞÖ÷Òå¹²²úµ³;Partido Comunista Marxista-Leninista del Ecuador;Partido Comunista Marxista-Leninista del Ecuador;;Partido Comunista Marxista-Leninista del Ecuador;;;;;;;;;;x
stalinist_ECU;¶ò¹Ï¶à¶û¹²²úµ³;Partido Comunista del Ecuador;Partido Comunista del Ecuador;;Partido Comunista del Ecuador;;;;;;;;;;x
national_socialist_EGY;°¢À­²®¹ú¼ÒÉç»áÖ÷Òåµ³;Parti national socialiste arabe;Nationalsozialistische Partei Arabiens;;Partido Nacionalsocialista Árabe;;;;;;;;;;x
fascistic_EGY;°¢À­²®·¨Î÷Ë¹ÕóÏß;Front fasciste arabe;Faschistische Front Arabiens;;Frente Fascista Árabe;;;;;;;;;;x
paternal_autocrat_EGY;°¢°ÍÔú¼Ò×å;Le clan Abaza;Der Abaza-Klan;;Clan de Abaza;;;;;;;;;;x
social_conservative_EGY;ÄÂË¹ÁÖĞÖµÜ»á;Les Frères musulmans;Muslimische Bruderschaft;;Hermanos Musulmanes;;;;;;;;;;x
market_liberal_EGY;»ª·òÍÑµ³;Parti Wafd;Wafd-Partei;;Partido Wafd;;;;;;;;;;x
social_liberal_EGY;Ãñ×åµ³;Parti Ummah;Ummah-Partei;;Partido Ummah;;;;;;;;;;x
social_democrat_EGY;°¢À­²®Éç»áÖ÷ÒåÁªÃË;Union socialiste arabe;Sozialistische Union Arabiens;;Unión Socialista Árabe;;;;;;;;;;x
left_wing_radical_EGY;Ãñ×å½ø²½Í³Ò»µ³;Parti progressiste unioniste national;Einheitspartei des nationalen Fortschritts;;Partido de la Unión Progresista Nacional;;;;;;;;;;x
leninist_EGY;°£¼°°¢À­²®Éç»áµ³;Parti socialiste arabe égyptien;Arabische Sozialistenpartei Ägyptens;;Partido Socialista Árabe de Egipto;;;;;;;;;;x
stalinist_EGY;°£¼°¹²²úµ³;Parti communiste égyptien;Kommunistische Partei Ägyptens;;Partido Comunista de Egipto;;;;;;;;;;x
national_socialist_ENG;¹ú¼ÒÉç»áÖ÷ÒåÁªÃË;Ligue nationale socialiste;National Socialist League;;Liga Nacionalsocialista;;;;;;;;;;x
fascistic_ENG;Ó¢¹ú·¨Î÷Ë¹ÁªÃË;Union britannique fasciste;British Union of Fascists;;Unión Británica de Fascistas;;;;;;;;;;x
paternal_autocrat_ENG;±±Å·ÁªÃË;Ligue du Nord;Nordic League;;Liga Nórdica;;;;;;;;;;x
social_conservative_ENG;±£ÊØµ³;Parti conservateur;Conservative Party;;Partido Conservador;;;;;;;;;;x
market_liberal_ENG;¹ú¼Ò×ÔÓÉµ³;Parti libéral national;National Liberal Party;;Partido Nacional Liberal;;;;;;;;;;x
social_liberal_ENG;×ÔÓÉµ³;Parti libéral ;Liberal Party;;Partido Liberal;;;;;;;;;;x
social_democrat_ENG;ÀÍ¶¯µ³;Parti travailliste;Labour Party;;Partido Laborista;;;;;;;;;;x
left_wing_radical_ENG;¶ÀÁ¢ÀÍ¶¯µ³;Parti travailliste indépendant;Independent Labour Party;;Partido Laborista Independiente;;;;;;;;;;x
leninist_ENG;Éç»áÖ÷Òå¸ïÃüÁªÃË;Ligue socialiste révolutionnaire;Revolutionary Socialist League;;Liga Revolucionaria Socialista;;;;;;;;;;x
stalinist_ENG;¹²²úµ³;Parti communiste;Kommunistische Partei;;Partido Comunista;;;;;;;;;;x
national_socialist_EST;°®É³ÄáÑÇÄÉ´âµ³;Heimwehr;Heimwehr;;Heimwehr;;;;;;;;;;x
fascistic_EST;°®É³ÄáÑÇ·¨Î÷Ë¹µ³;VAPSID;VAPSID;;VAPSID;;;;;;;;;;x
paternal_autocrat_EST;ÈËÃñ¹²ºÍ±£ÊØµ³;Talurahvaerakond;Talurahvaerakond;;Talurahvaerakond;;;;;;;;;;x
social_conservative_EST;Éç»á±£ÊØµ³;EKR;EKR;;EKR;;;;;;;;;;x
market_liberal_EST;Ã³Ò××ÔÓÉÖ÷Òå;VKR;VKR;;VKR;;;;;;;;;;x
social_liberal_EST;Éç»á×ÔÓÉÖ÷Òå;ER;ER;;ER;;;;;;;;;;x
social_democrat_EST;Éç»áÃñÖ÷µ³;ESÜ;;;;;;;;;;x
left_wing_radical_EST;×óÒí¼¤½øÖ÷Òå;ESP;ESP;;ESP;;;;;;;;;;x
leninist_EST;ÁĞÄşÖ÷Òå;ESTÜ;;;;;;;;;;x
stalinist_EST;°®É³ÄáÑÇ¹²²úµ³;EKP;EKP;;EKP;;;;;;;;;;x
national_socialist_ETH;°£Èû¶í±ÈÑÇ¹ú¼ÒÉç»áÖ÷Òåµ³;Parti national socialiste éthiopien;Nationalsozialistische Partei Äthiopiens;;Partido Nacionalsocialista de Etiopía;;;;;;;;;;x
fascistic_ETH;°£Èû¶í±ÈÑÇ·¨Î÷Ë¹ÕóÏß;Front fasciste éthiopien;Faschistische Front Äthiopiens;;Frente Fascista de Etiopía;;;;;;;;;;x
paternal_autocrat_ETH;°£Èû¶í±ÈÑÇ¹ó×åÓë×Ú½ÌÁªÃË;Mekwanint;Mekwanint;;Mekwanint;;;;;;;;;;x
social_conservative_ETH;Éç»á±£ÊØµ³;Mesafint;Mesafint;;Mesafint;;;;;;;;;;x
market_liberal_ETH;°£Èû¶í±ÈÑÇÍÅ½áµ³;Parti unitaire éthiopien;Gesamtäyptische Einheitspartei;;Partido de Unidad Panetíope;;;;;;;;;;x
social_liberal_ETH;°£Èû¶í±ÈÑÇÃñÖ÷ÍÅ½áµ³;Parti unitaire démocratique éthiopien;Demokratische Einheitspartei Äthiopiens;;Partido Etíope de Unidad Democrática;;;;;;;;;;x
social_democrat_ETH;°£Èû¶í±ÈÑÇÉç»áÃñÖ÷Áª°îµ³;Parti social démocrate fédéral éthiopien;Sozialdemokratische Bundespartei Äthiopiens;;Partido Socialdemócrata Federal de Etiopía;;;;;;;;;;x
left_wing_radical_ETH;°£Èû¶í±ÈÑÇÈËÃñ¸ïÃüµ³;Parti populaire révolutionnaire éthiopien;Äthiopische Volksrevolutionspartei;;Partido Revolucionario del Pueblo?Etíope;;;;;;;;;;x
leninist_ETH;°£Èû¶í±ÈÑÇÉç»áÖ÷ÒåÔË¶¯µ³;Mouvement socialiste éthiopien;Gesamtäyptische sozialistische Bewegung;;Movimiento Socialista Panetíope;;;;;;;;;;x
stalinist_ETH;°£Èû¶í±ÈÑÇ¹¤ÈËµ³;Parti des travailleurs éthiopiens;Äthiopische Arbeiterpartei;;Partido Laborista de Etiopía;;;;;;;;;;x
national_socialist_FIN;°£Èû¶í±ÈÑÇÄÉ´âµ³;Sinimustat;Sinimustat;;Sinimustat;;;;;;;;;;x
fascistic_FIN;Â³ÆÕ¶òÕóÏß;Lapuan liike;Lapuan liike;;Lapuan liike;;;;;;;;;;x
paternal_autocrat_FIN;·ÒÀ¼°®¹úÕßÔË¶¯;IKL;IKL;;IKL;;;;;;;;;;x
social_conservative_FIN;¹ú¼ÒÍ¬ÃËµ³;Kok;Kok;;Kok;;;;;;;;;;x
market_liberal_FIN;ÖĞÑëµ³;KE;KE;;KE;;;;;;;;;;x
social_liberal_FIN;Éç»á×ÔÓÉµ³;SKK;SKK;;SKK;;;;;;;;;;x
social_democrat_FIN;Éç»áÃñÖ÷µ³;SDP;SDP;;SDP;;;;;;;;;;x
left_wing_radical_FIN;Éç»áÖ÷ÒåÍ³Ò»µ³;SKDL;SKDL;;SKDL;;;;;;;;;;x
leninist_FIN;Éç»áÖ÷ÒåÍ³Ò»µ³;SYP;SYP;;SYP;;;;;;;;;;x
stalinist_FIN;Éç»áÖ÷ÒåÍ³Ò»µ³;SKP;SKP;;SKP;;;;;;;;;;x
national_socialist_FRA;·¨¹úÈËÃñÕóÏß;PPF;PPF;;PPF;;;;;;;;;;x
fascistic_FRA;×ÔÓÉÔË¶¯;Mouvement franciste;Mouvement Franciste;;Mouvement Franciste;;;;;;;;;;x
paternal_autocrat_FRA;·¨À¼Î÷ĞĞ¶¯µ³;Action française;Action Française;;Action Française;;;;;;;;;;x
social_conservative_FRA;·¨À¼Î÷¹úÃñÕóÏß;FR;FR;;Fra;;;;;;;;;;x
market_liberal_FRA;·¨¹ú¹úÃñ¹²ºÍµ³;MRP;MRP;;MRP;;;;;;;;;;x
social_liberal_FRA;Éç»á×ÔÓÉÖ÷Òå;ARV;ARV;;ARV;;;;;;;;;;x
social_democrat_FRA;¹¤ÈË¹ú¼Ê·¨¹úÖ§²¿;SIFO;SIFO;;SIFO;;;;;;;;;;x
left_wing_radical_FRA;×ÔÓÉ¼¤½øµ³;RAD;RAD;;RAD;;;;;;;;;;x
leninist_FRA;²¼¶ûÊ²Î¬¿Ë-ÁĞÄşĞ¡×é;GBL;GBL;;GBL;;;;;;;;;;x
stalinist_FRA;·¨¹ú¹²²úµ³;PCF;PCF;;PCF;;;;;;;;;;x
national_socialist_GER;¹ú¼ÒÉç»áÖ÷Òå¹¤ÈËµ³;NSDAP;NSDAP;;NSDAP;;;;;;;;;;x
fascistic_GER;µÂ¹úÃñ×å×ÔÓÉµ³;DVFP;DVFP;;DVFP;;;;;;;;;;x
paternal_autocrat_GER;µÂ¹úÈËÃñµ³;DVP;DVP;;DVP;;;;;;;;;;x
social_conservative_GER;µÂ¹ú¹ú¼ÒÈËÃñµ³;DNVP;DNVP;;DNVP;;;;;;;;;;x
market_liberal_GER;µÂ¹úÃñÖ÷µ³;DDP;DDP;;DDP;;;;;;;;;;x
social_liberal_GER;Z;Z;Z;;Z;;;;;;;;;;x
social_democrat_GER;µÂ¹úÉç»áÃñÖ÷µ³;SPD;SPD;;SPD;;;;;;;;;;x
left_wing_radical_GER;µÂ¹ú¹²²úµ³;KPD;KPD;;KPD;;;;;;;;;;x
leninist_GER;°ÂµØÀû¹²²úµ³;KPO;KPO;;KPO;;;;;;;;;;x
stalinist_GER;µÂ¹ú¹²²úÖ÷Òå¹¤ÈËµ³;KAPD;KAPD;;KAPD;;;;;;;;;;x
national_socialist_GRE;Ï£À°¹ú¼ÒÉç»áÖ÷Òåµ³;EESK;EESK;;EESK;;;;;;;;;;x
fascistic_GRE;Ï£À°·¨Î÷Ë¹µ³;EEE;EEE;;EEE;;;;;;;;;;x
paternal_autocrat_GRE;ÈËÃñµ³;LK;LK;;LK;;;;;;;;;;x
social_conservative_GRE;±£ÊØÃñÖ÷µ³;SDK;SDK;;SDK;;;;;;;;;;x
market_liberal_GRE;Ã³Ò××ÔÓÉÖ÷Òå;KF;KF;;KF;;;;;;;;;;x
social_liberal_GRE;ÃñÖ÷ÁªÃË;DE;DE;;DE;;;;;;;;;;x
social_democrat_GRE;Ï£À°ÃñÖ÷Éç»áÖ÷Òåµ³;DSK;DSK;;DSK;;;;;;;;;;x
left_wing_radical_GRE;Ï£À°Éç»áÖ÷Òå¹¤ÈËµ³;SEKE;SEKE;;SEKE;;;;;;;;;;x
leninist_GRE;Å©Ãñ¹¤ÈËµ³;AEK;AEK;;AEK;;;;;;;;;;x
stalinist_GRE;Ï£À°¹²²úµ³;KKE;KKE;;KKE;;;;;;;;;;x
national_socialist_GUA;¹ú¼ÒÉç»áÖ÷ÒåÔË¶¯;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_GUA;Î£µØÂíÀ­³¤Ç¹µ³;Falange de Guatemala;Falange de Guatemala;;Falange de Guatemala;;;;;;;;;;x
paternal_autocrat_GUA;Î£µØÂíÀ­¹²ºÍµ³;Frente Republicano Guatemalteco;Frente Republicano Guatemalteco;;Frente Republicano Guatemalteco;;;;;;;;;;x
social_conservative_GUA;¹ú¼ÒÍ³Ò»ÁªÃË;Unidad Nacional de la Esperanza;Unidad Nacional de la Esperanza;;Unidad Nacional de la Esperanza;;;;;;;;;;x
market_liberal_GUA;¹¤ÈËÁªºÏµ³;Partido Unionista;Partido Unionista;;Partido Unionista;;;;;;;;;;x
social_liberal_GUA;ÃñÖ÷ÁªÃË;Unión Democrática;Unión Democrática;;Unión Democrática;;;;;;;;;;x
social_democrat_GUA;Î£µØÂíÀ­ÀÍ¹¤µ³;Partido Guatemalteco del Trabajo;Partido Guatemalteco del Trabajo;;Partido Guatemalteco del Trabajo;;;;;;;;;;x
left_wing_radical_GUA;¸ïÃüĞĞ¶¯µ³;Partido Accion Revolucion;Partido Accion Revolucion;;Partido Acción Revolución;;;;;;;;;;x
leninist_GUA;Î£µØÂíÀ­ÃñÖ÷ÏÈ·æµ³;Vanguardia Democrática Guatemalteca;Vanguardia Democrática Guatemalteca;;Vanguardia Democrática Guatemalteca;;;;;;;;;;x
stalinist_GUA;Î£µØÂíÀ­¹²²úµ³;Partido Comunista de Guatemala;Partido Comunista de Guatemala;;Partido Comunista de Guatemala;;;;;;;;;;x
national_socialist_GUY;¹çÑÇÄÇ¹ú¼ÒÉç»áÖ÷ÒåÔË¶¯;Mouvement nationaliste guyanais;Nationalsozialitische Bewegung Guayanas;;Movimiento Nacionalsocialista de Guayana;;;;;;;;;;x
fascistic_GUY;¹çÑÇÄÇ·¨Î÷Ë¹ÁªÃË;Ligue fasciste guyanaise;Faschistische Liga Guyanas;;Liga Fascista de Guayana;;;;;;;;;;x
paternal_autocrat_GUY;¹çÑÇÄÇ¹ú¼Òµ³;Parti national guyanais;Nationalpartei Guyanas;;Partido Nacional de Guayana;;;;;;;;;;x
social_conservative_GUY;¹ú¼Ò¹²ºÍµ³;Parti national républicain;Nationalrepublikanische Partei;;Partido Republicano Nacional;;;;;;;;;;x
market_liberal_GUY;¹ú¼ÒÃñÖ÷ÔË¶¯;Mouvement démocratique national;Nationaldemokratische Bewegung;;Movimiento Nacional Demócrata;;;;;;;;;;x
social_liberal_GUY;ÈËÃñÃñÖ÷µ³;Parti populaire démocrate;Demokratische Volkspartei;;Partido Democrático del Pueblo;;;;;;;;;;x
social_democrat_GUY;¹ú´óµ³;Congrès national populaire;Nationaler Volkskongress;;Congreso Nacional del Pueblo;;;;;;;;;;x
left_wing_radical_GUY;ÈËÃñ½ø²½µ³;Parti populaire progressiste;Völkische Fortschrittspartei;;Partido Progresista del Pueblo;;;;;;;;;;x
leninist_GUY;ÀÍ¹¤ÏÈ·æµ³;Parti de l'avant-garde des travailleurs;Partei des arbeitenden Volkes;;Partido Vanguardista de los Trabajadores;;;;;;;;;;x
stalinist_GUY;¹çÑÇÄÇ¹²²úµ³;Parti communiste guyanais;Kommunistische Partei Guyanas;;Partido Comunista de Guayana;;;;;;;;;;x
national_socialist_HAI;º£µØ¹ú¼ÒÉç»áÖ÷Òåµ³;PPH;PPH;;PPH;;;;;;;;;;x
fascistic_HAI;·¨Î÷Ë¹ÁªÃË;VSN;VSN;;VSN;;;;;;;;;;x
paternal_autocrat_HAI;¾üÊÂÎ¯Ô±»á;Conseil Militaire;Conseil Militaire;;Conseil Militaire;;;;;;;;;;x
social_conservative_HAI;º£µØÉç»á±£ÊØµ³;MCBNH;MCBNH;;MCBNH;;;;;;;;;;x
market_liberal_HAI;Ã³Ò××ÔÓÉÖ÷Òå;MIRN;MIRN;;MIRN;;;;;;;;;;x
social_liberal_HAI;Éç»á×ÔÓÉÖ÷Òå;RDNP;RDNP;;RDNP;;;;;;;;;;x
social_democrat_HAI;Éç»áÃñÖ÷µ³;SDH;SDH;;SDH;;;;;;;;;;x
left_wing_radical_HAI;º£µØ¶ÀÁ¢µ³;POIH;POIH;;POIH;;;;;;;;;;x
leninist_HAI;PCOH;º£µØÁĞÄşÖ÷Òå¹²²úµ³;PCOH;;PCOH;;;;;;;;;;x
stalinist_HAI;º£µØ¹²²úµ³;PCH;PCH;;PCH;;;;;;;;;;x
national_socialist_HOL;ºÉÀ¼¹ú¼ÒÉç»áÖ÷ÒåÔË¶¯;NSB;NSB;;NSB;;;;;;;;;;x
fascistic_HOL;ºÉÀ¼·¨Î÷Ë¹ÁªÃË;ANFB;ANFB;;ANFB;;;;;;;;;;x
paternal_autocrat_HOL;²»Í¶Æ±µ³;NVP;NVP;;NVP;;;;;;;;;;x
social_conservative_HOL;·´¸ïÃüµ³;ARP;ARP;;ARP;;;;;;;;;;x
market_liberal_HOL;×ÔÓÉÁª°îµ³;LSP;LSP;;LSP;;;;;;;;;;x
social_liberal_HOL;ÌìÖ÷½ÌÈËÃñµ³;KVP;KVP;;KVP;;;;;;;;;;x
social_democrat_HOL;Éç»áÃñÖ÷¹¤ÈËµ³;SDAP;SDAP;;SDAP;;;;;;;;;;x
left_wing_radical_HOL;¶ÀÁ¢Éç»áÖ÷Òåµ³;OSP;OSP;;OSP;;;;;;;;;;x
leninist_HOL;Éç»áÖ÷Òå¸ïÃüµ³;RSAP;RSAP;;RSAP;;;;;;;;;;x
stalinist_HOL;ºÉÀ¼¹²²úµ³;CPN;CPN;;CPN;;;;;;;;;;x
national_socialist_HON;¹ú¼ÒÉç»áÖ÷ÒåÔË¶¯;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_HON;ºé¶¼À­Ë¹³¤Ç¹µ³;Falange de Honduras;Falange de Honduras;;Falange de Honduras;;;;;;;;;;x
